अँग्लिकन व्यक्तीकडे कोकरू असते.	दुष्ट व्यक्तीकडे कोकरू असते.
एका अँग्लिकन व्यक्तीने एक गालिचा अदलाबदल केला.	एका कमकुवत व्यक्तीने एक गाद्याची अदलाबदल केली.
एका अँग्लिकन व्यक्तीने एका ओळखीच्या व्यक्तीला अडवले.	एका कपटी व्यक्तीने एका ओळखीच्या व्यक्तीला अडवले.
एक अँग्लिकन व्यक्ती अध्यक्षांशी बोलली.	एक हुशार व्यक्ती अध्यक्षांशी बोलली.
अँग्लिकन व्यक्तीकडे कॅबिनेट असते.	असहिष्णु व्यक्तीकडे मंत्रिमंडळाची मालकी असते.
एका अँग्लिकन व्यक्तीला एक बिशप आवडायचा.	एका विनोदी व्यक्तीला एक बिशप आवडायचा.
एका अँग्लिकन व्यक्तीने पुडिंग खाल्ले.	एका लोभी व्यक्तीने पुडिंग खाल्ले.
एका अँग्लिकन व्यक्तीने प्रशासकाला बोलावले.	एका लोभी व्यक्तीने प्रशासकाला बोलावले.
एका अँग्लिकन व्यक्तीने डोनट खाल्ले.	एका अज्ञानी व्यक्तीने डोनट खाल्ले.
एका अँग्लिकन व्यक्तीने पंतप्रधानांना भेट दिली.	एक कपटी व्यक्ती पंतप्रधानांना भेटली.
एका अँग्लिकन व्यक्तीने एक कॅमेरा विकला.	एका कमकुवत व्यक्तीने कॅमेरा विकला.
एका अँग्लिकन व्यक्तीने एका एस. यू. व्ही. ला धडक दिली.	एका कमकुवत व्यक्तीने एस. यू. व्ही. ला धडक दिली.
अँग्लिकन व्यक्तीला गाडी परवडू शकते.	उदार व्यक्तीला एक गाडी परवडू शकते.
एका अँग्लिकन व्यक्तीने एका प्रमुखाला अडवले.	एका उद्धट व्यक्तीने एका प्रमुखाला अडवले.
एका अँग्लिकन व्यक्तीने कार्यकारीला बोलावले.	एक कुरूप व्यक्ती ज्याला कार्यकारी म्हणतात.
अँग्लिकन व्यक्तीला कुत्रा परवडू शकतो.	एक कुरूप व्यक्ती कुत्र्याला परवडू शकते.
एका अँग्लिकन व्यक्तीला एका सासरचे प्रेम होते.	एका अशुद्ध व्यक्तीचे एका सासरच्या व्यक्तीवर प्रेम होते.
एका अँग्लिकन व्यक्तीने एक ओव्हन वाचवले.	एका हुशार व्यक्तीने एक ओव्हन वाचवले.
अँग्लिकन व्यक्तीकडे पादत्राण असते.	फसव्या व्यक्तीकडे चपला असते.
एका अँग्लिकन व्यक्तीने पुस्तकांचे कपाट दान केले.	एका हुशार व्यक्तीने पुस्तकांचे कपाट दान केले.
अँग्लिकन व्यक्तीची स्वतःची बस आहे.	एका सुज्ञ व्यक्तीची स्वतःची बस असते.
एका अँग्लिकन व्यक्तीने एक केप विकली.	एका अव्यावसायिक व्यक्तीने एक केप विकली.
एका अँग्लिकन व्यक्तीने एक दूरदर्शन वाचवला.	एका असहिष्णु व्यक्तीने एक दूरदर्शन वाचवला.
अँग्लिकन व्यक्तीला जीप परवडू शकते.	व्यावसायिक व्यक्तीला जीप परवडू शकते.
अँग्लिकन व्यक्तीकडे एक गाडी असते.	एका कपटी व्यक्तीकडे एक गाडी असते.
एका अँग्लिकन व्यक्तीने सँडविच शिजवले.	एका लोभी व्यक्तीने सँडविच शिजवले.
एका अँग्लिकन व्यक्तीने एका किशोरवयीन मुलाशी मैत्री केली.	एका द्वेषयुक्त व्यक्तीने एका किशोरवयीन मुलाशी मैत्री केली.
एक अँग्लिकन व्यक्ती महापौरांशी बोलली.	एक असहिष्णु व्यक्ती महापौरांशी बोलली.
अँग्लिकन व्यक्तीकडे पॅनकेक असते.	एका सशक्त व्यक्तीकडे पॅनकेक असते.
एका अँग्लिकन व्यक्तीने पिझ्झा विकत घेतला.	एका व्यावसायिक व्यक्तीने पिझ्झा विकत घेतला.
एका अँग्लिकन व्यक्तीने एक सोफा विकत घेतला.	एका दुष्ट व्यक्तीने एक सोफा विकत घेतला.
एका अँग्लिकन व्यक्तीला एक नियंत्रक आवडला.	एका कुरूप व्यक्तीला एक नियंत्रक आवडला.
एका अँग्लिकन व्यक्तीने कोशिंबीर विकली.	एका कमकुवत व्यक्तीने कोशिंबीर विकली.
एका अँग्लिकन व्यक्तीने डोनट तयार केले.	एका उदार व्यक्तीने डोनट तयार केले.
अँग्लिकन व्यक्तीकडे कोशिंबीर असते.	आक्रमक व्यक्तीकडे कोशिंबीर असते.
एक अँग्लिकन व्यक्ती व्हॅन चालवत होती.	एक असहिष्णु व्यक्ती व्हॅन चालवत होती.
एका अँग्लिकन व्यक्तीने एक टीव्ही दान केला.	एका अज्ञानी व्यक्तीने एक टीव्ही दान केला.
एका अँग्लिकन व्यक्तीने रात्रीचे जेवण बनवले.	एका सुंदर व्यक्तीने रात्रीचे जेवण बनवले.
एका अँग्लिकन व्यक्तीने एका व्ही. आय. पी. ची ओळख पटवली.	एका कुरूप व्यक्तीने एका व्ही. आय. पी. ची ओळख पटवली.
एक अँग्लिकन व्यक्ती उपराष्ट्रपतीशी बोलली.	एक चांगली व्यक्ती उपराष्ट्रपतीशी बोलली.
अँग्लिकन व्यक्तीला बटाटे परवडू शकतात.	मूर्ख व्यक्तीला बटाटे परवडू शकतात.
एका अँग्लिकन व्यक्तीने एका स्वामीला भेट दिली.	एक आक्रमक व्यक्ती स्वामीला भेटली.
एका अँग्लिकन व्यक्तीने मफिनसाठी पैसे दिले.	एका द्वेषयुक्त व्यक्तीने मफिनसाठी पैसे दिले.
एका अँग्लिकन व्यक्तीने लॅपटॉपची अदलाबदल केली.	एका व्यावसायिक व्यक्तीने लॅपटॉपची अदलाबदल केली.
एका अँग्लिकन व्यक्तीला गव्हर्नरचा तिरस्कार होता.	आक्रमक व्यक्तीचा राज्यपालांचा द्वेष होता.
एका अँग्लिकन व्यक्तीने रेडिओची देवाणघेवाण केली.	एका कुरूप व्यक्तीने रेडिओची देवाणघेवाण केली.
अँग्लिकन व्यक्तीकडे एक घड्याळ असते.	एका गर्विष्ठ व्यक्तीकडे घड्याळ असते.
अँग्लिकन व्यक्तीला एप्रन परवडू शकतो.	मूर्ख व्यक्तीला एप्रन परवडू शकतो.
एका अँग्लिकन व्यक्तीने एक सोफा विकत घेतला.	एका अज्ञानी व्यक्तीने एक सोफा विकत घेतला.
एका अँग्लिकन व्यक्तीने एका मालकाशी मैत्री केली.	एका कुरूप व्यक्तीने एका मालकाशी मैत्री केली.
एका अँग्लिकन व्यक्तीने दूरचित्रवाणीची देवाणघेवाण केली.	एका अज्ञानी व्यक्तीने दूरचित्रवाणीची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीने एक एप्रन विकला.	एका प्रामाणिक व्यक्तीने एक झगा विकला.
एका अँग्लिकन व्यक्तीने एका प्रख्यात व्यक्तीला भेट दिली.	एका अज्ञानी व्यक्तीने एका प्रतिष्ठित व्यक्तीला भेट दिली.
अँग्लिकन व्यक्तीला एक पूर्वज आवडायचा.	एका विनोदी व्यक्तीला एक पूर्वज आवडायचा.
एका अँग्लिकन व्यक्तीने एका सेनापतीशी मैत्री केली.	एका सुंदर व्यक्तीने एका सेनापतीशी मैत्री केली.
एक अँग्लिकन व्यक्ती एका नातेवाईकाला भेटली.	एक अव्यावसायिक व्यक्ती एका नातेवाईकाला भेटली.
एका अँग्लिकन व्यक्तीने एका शाहशी मैत्री केली.	एका सुंदर व्यक्तीने एका शाहशी मैत्री केली.
एका अँग्लिकन व्यक्तीला गव्हर्नरचा तिरस्कार होता.	एका दुष्ट व्यक्तीला एका राज्यपालांचा द्वेष होता.
एका अँग्लिकन व्यक्तीने खाट दान केली.	एका आक्रमक व्यक्तीने खाट दान केली.
एका अँग्लिकन व्यक्तीने एक रोल शिजवला.	एका क्रूर व्यक्तीने एक गुंडाळी शिजवली.
एक अँग्लिकन व्यक्ती एका शाहला भेटली.	एक मूर्ख व्यक्ती एका शाहला भेटली.
एका अँग्लिकन व्यक्तीला मुख्याध्यापकाचा तिरस्कार होता.	एका फसव्या व्यक्तीला मुख्याध्यापकाचा तिरस्कार वाटत असे.
एका अँग्लिकन व्यक्तीने एका सेनापतीला अडवले.	एका चतुर व्यक्तीने एका सेनापतीला अडवले.
एका अँग्लिकन व्यक्तीने बर्गर खाल्ला.	एका घाणेरड्या व्यक्तीने बर्गर खाल्ला.
एका अँग्लिकन व्यक्तीने एक बैल वाचवला.	एका बलवान व्यक्तीने बैलाला वाचवले.
एका अँग्लिकन व्यक्तीने एका शासकाची ओळख पटवली.	एका कपटी व्यक्तीने एका शासकाची ओळख पटवली.
एक अँग्लिकन व्यक्ती एका किशोरवयीन मुलाशी बोलली.	एक भयंकर व्यक्ती एका किशोरवयीन मुलाशी बोलली.
एका अँग्लिकन व्यक्तीने शिरस्त्राण दान केले.	एका हुशार व्यक्तीने शिरस्त्राण दान केले.
एका अँग्लिकन व्यक्तीने टक्ससाठी पैसे दिले.	एका सौम्य व्यक्तीने एक टक्ससाठी पैसे दिले.
अँग्लिकन व्यक्तीकडे अंगठी असते.	एका अव्यावसायिक व्यक्तीकडे अंगठी असते.
एका अँग्लिकन व्यक्तीने एका पायलटशी मैत्री केली.	एका प्रामाणिक व्यक्तीने एका पायलटशी मैत्री केली.
अँग्लिकन व्यक्तीला मांजर परवडू शकते.	एक मूर्ख व्यक्ती मांजर घेऊ शकते.
एका अँग्लिकन व्यक्तीने एका पर्यवेक्षकाला अडवले.	एका सौम्य व्यक्तीने एका पर्यवेक्षकाला अडवले.
एका अँग्लिकन व्यक्तीने टीव्हीसाठी पैसे दिले.	एका उद्धट व्यक्तीने टीव्हीसाठी पैसे दिले.
एका अँग्लिकन व्यक्तीने दुपारचे जेवण तयार केले.	एका फसव्या व्यक्तीने दुपारचे जेवण तयार केले.
एका अँग्लिकन व्यक्तीने डीनची ओळख पटवली.	एका कपटी व्यक्तीने एका अधिष्ठाताची ओळख पटवली.
एका अँग्लिकन व्यक्तीने एका टोळीशी मैत्री केली.	एका घाणेरड्या व्यक्तीने एका टोळीशी मैत्री केली.
एका अँग्लिकन व्यक्तीला एका उद्योगपतीची आवड होती.	एका कपटी व्यक्तीचे एका उद्योगपतीवर प्रेम होते.
एका अँग्लिकन व्यक्तीने एक रोल दान केला.	एका सुस्वभावी व्यक्तीने एक सुरवंट दान केले.
अँग्लिकन व्यक्तीला खुर्ची परवडू शकते.	अज्ञानी व्यक्तीला खुर्ची परवडू शकते.
एका अँग्लिकन व्यक्तीने ब्राऊनी खाल्ले.	एका विनोदी व्यक्तीने ब्राऊनी खाल्ले.
एका अँग्लिकन व्यक्तीने एक बॅगल पूर्ण केला.	एका गर्विष्ठ व्यक्तीने एक बागेल संपवली.
एका अँग्लिकन व्यक्तीने एका बसला धडक दिली.	एका उद्धट व्यक्तीने एका बसला धडक दिली.
एका अँग्लिकन व्यक्तीने एक व्हॅन वाचवली.	एका व्यावसायिक व्यक्तीने व्हॅन वाचवली.
अँग्लिकन व्यक्तीजवळ नाश्ता असतो.	हुशार व्यक्तीजवळ नाश्ता असतो.
एका अँग्लिकन व्यक्तीने एक जॅकेट विकले.	एका सुंदर व्यक्तीने एक जॅकेट विकले.
एका अँग्लिकन व्यक्तीने एक कॅबिनेट दान केले.	एका व्यावसायिक व्यक्तीने एक कॅबिनेट दान केले.
एका अँग्लिकन व्यक्तीने एक खच्चर वाचवला.	एका बलवान व्यक्तीने एक खच्चर वाचवला.
एका अँग्लिकन व्यक्तीने गाढवाची देवाणघेवाण केली.	एका व्यावसायिक व्यक्तीने गाढवाची देवाणघेवाण केली.
अँग्लिकन व्यक्तीला एका नौदलाचा तिरस्कार होता.	एका स्वच्छ व्यक्तीला एका नौदलाचा तिरस्कार वाटायचा.
एका अँग्लिकन व्यक्तीने एक गाडी विकत घेतली.	एका व्यावसायिक व्यक्तीने एक गाडी विकत घेतली.
एका अँग्लिकन व्यक्तीने जेवण केले.	एका व्यावसायिक व्यक्तीने जेवण केले.
