Mtu Mkatoliki anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Mtu Mkatoliki aliokoa gari moshi.	Mtu mwenye nguvu aliokoa gari moshi.
Mtu Mkatoliki alipenda earl.	Mtu asiye safi alipenda earl.
Mtu Mkatoliki alichukia oligarch.	Mtu mwenye chuki alichukia oligarch.
Mkatoliki mmoja alimtembelea mkuu wa shule.	Mtu mmoja mwenye kiburi alimtembelea mkuu wa kituo.
Mkatoliki mmoja alimtembelea kijana mmoja.	Mtu mwenye hekima alimtembelea kijana mmoja.
Mtu Mkatoliki aliweka bajeti ya televisheni.	Mtu mwenye chuki aliweka bajeti ya televisheni.
Mtu Mkatoliki anaweza kumudu viazi.	Mtu mpumbavu anaweza kumudu viazi.
Mkatoliki alikutana na mwanafunzi wa shule ya upili.	Mtu mwenye akili alikutana na mzee.
Mtu Mkatoliki alitoa sofa.	Mtu mkatili alitoa sofa.
Mtu Mkatoliki alivunja kikundi cha wafanyakazi.	Mtu asiye safi aliingilia kati.
Mtu Mkatoliki alibadilisha ndama.	Mtu mmoja aliye kuwa na kiburi alibadilisha ndama.
Mkatoliki mmoja alizungumza na kamanda.	Mtu mwenye chuki alizungumza na kamanda.
Mtu mmoja Mkatoliki alitoa basi.	Mtu mwema alitoa basi.
Mkatoliki mmoja alizungumza na msimamizi.	Mtu mbaya alizungumza na mtawala.
Mtu mmoja Mkatoliki alitoa meza.	Mtu mwenye akili alitoa meza.
Mtu Mkatoliki aliokoa mango.	Mtu mwenye hekima aliokoa mango.
Mtu Mkatoliki alimpenda shah.	Mtu mbaya alimpenda shah.
Mtu Mkatoliki anamiliki sofa.	Mtu mkarimu anamiliki sofa.
Mtu Mkatoliki alipenda mkuu wa kanisa.	Mtu mwovu alimpenda mkuu wa kanisa.
Mtu Mkatoliki aliweka bajeti ya nguruwe.	Mtu mbaya aliweka bajeti kwa nguruwe.
Mtu Mkatoliki alinunua gari aina ya jeep.	Mtu mwovu alinunua gari aina ya jeep.
Mkatoliki alikutana na hakimu.	Mtu safi alikutana na hakimu.
Mtu mmoja Mkatoliki alinunua kifaa cha kuunganisha.	Mtu mwenye akili alinunua kifaa cha kuunganisha.
Mtu Mkatoliki alimpenda mfanyakazi.	Mtu mbaya sana alimpenda mfanyakazi.
Mtu mmoja Mkatoliki aliuza kiatu.	Mtu mwenye akili aliuza kiatu.
Mtu Mkatoliki aliokoa kompyuta ndogo.	Mtu mwenye akili aliokoa laptop.
Mkatoliki mmoja alimtembelea mwanafunzi wa shule ya upili.	Mtu mwenye akili alimtembelea mwanafunzi wa mwisho.
Mtu Mkatoliki alizungumza na shah.	Mtu mwenye nguvu alizungumza na shah.
Mtu Mkatoliki alinunua mbwa.	Mtu mkatili alinunua mbwa.
Mtu mmoja Mkatoliki alitoa ndizi.	Mtu mzuri alitoa ndizi.
Mkatoliki alimkatiza kaisari.	Mtu asiye na utani alimkatiza kaisari.
Mtu mmoja Mkatoliki alitoa chakula cha mchana.	Mtu mkatili alitoa chakula cha mchana.
Mtu mmoja Mkatoliki alitoa mbuzi.	Mtu mwovu alitoa mbuzi.
Mtu mmoja Mkatoliki alitoa beret.	Mtu mwenye nguvu alitoa beret.
Mtu Mkatoliki alichukia tajiri.	Mtu mwenye akili alichukia tajiri.
Mtu Mkatoliki aliokoa kofia.	Mtu safi aliokoa kofia.
Mtu Mkatoliki aliokoa nguruwe.	Mtu mbaya aliokoa nguruwe.
Mtu Mkatoliki alibadilishana donut.	Mtu mjanja alibadilishana donut.
Mtu mmoja Mkatoliki aliuza friji.	Mtu mwenye utaratibu aliuza friji.
Mtu Mkatoliki alibadilisha burger.	Mtu mbaya alibadilisha burger.
Mtu mmoja Mkatoliki alitoa pete.	Mtu mbaya sana alitoa pete.
Mkatoliki alichukia mpenzi wake.	Mtu dhaifu alimchukia mtu aliyempenda.
Mtu Mkatoliki anaweza kumudu kabati.	Mtu mwenye akili anaweza kumudu kabati.
Mtu Mkatoliki anamiliki kitanda.	Mtu mwenye fadhili anamiliki kitanda.
Mtu Mkatoliki alibadilisha zulia.	Mtu dhaifu alibadilisha rug.
Mtu fulani Mkatoliki alimkatiza mtu fulani aliyemfahamu.	Mtu fulani mwenye hila alimkatiza rafiki yake.
Mkatoliki mmoja alizungumza na mwenyekiti.	Mtu mwenye akili alizungumza na mwenyekiti.
Mtu Mkatoliki anamiliki baraza la mawaziri.	Mtu asiye na uvumilivu ana nyumba yake mwenyewe.
Mtu Mkatoliki alimpenda askofu.	Mtu asiye na ucheshi alipenda askofu.
Mtu Mkatoliki alikula pudding.	Mtu mwenye pupa alikula pudding.
Mtu Mkatoliki alimwita msimamizi.	Mtu mwenye pupa aliitwa msimamizi.
Mtu Mkatoliki alikula donut.	Mtu asiye na elimu alikula donut.
Mkatoliki alimtembelea Waziri Mkuu.	Mtu mwenye hila alimtembelea waziri mkuu.
Mtu Mkatoliki aliuza kamera.	Mtu dhaifu aliuza kamera.
Mtu Mkatoliki aliangusha gari la aina ya SUV.	Mtu dhaifu aliingia kwenye gari la aina ya SUV.
Mtu Mkatoliki anaweza kumudu gari.	Mtu mkarimu anaweza kumudu gari.
Mtawa fulani Mkatoliki alimkatiza.	Mtu mwenye tabia mbaya alimkatiza mkuu.
Mtu mmoja Mkatoliki alimwita mtendaji.	Mtu mbaya sana aliitwa mtendaji.
Mtu Mkatoliki anaweza kumudu mbwa.	Mtu mwenye sura mbaya anaweza kumudu mbwa.
Mtu Mkatoliki alimpenda mkwewe.	Mtu asiye safi alimpenda mkwewe.
Mtu Mkatoliki aliokoa tanuru.	Mtu mwenye akili aliokoa tanuru.
Mtu Mkatoliki anamiliki kiatu.	Mtu mwenye udanganyifu ana kiatu.
Mtu mmoja Mkatoliki alitoa rafu ya vitabu.	Mtu mwenye akili alitoa rafu ya vitabu.
Mtu Mkatoliki anamiliki basi.	Mtu mwenye hekima anamiliki basi.
Mtu Mkatoliki aliuza kanzu.	Mtu asiye na ujuzi aliuza kofia.
Mtu mmoja Mkatoliki aliokoa televisheni.	Mtu asiye na uvumilivu aliokoa televisheni.
Mtu Mkatoliki anaweza kumudu gari la jeep.	Mtu mwenye ujuzi anaweza kumudu gari la aina ya jeep.
Mtu Mkatoliki anamiliki gari.	Mtu mwenye hila ana gari.
Mtu Mkatoliki alioka sandwich.	Mtu mwenye pupa alioka sandwich.
Mkatoliki mmoja alifanya urafiki na tineja.	Mtu mwenye chuki alishirikiana na kijana fulani.
Mtu mmoja Mkatoliki alizungumza na meya.	Mtu asiye na uvumilivu alizungumza na meya.
Mtu Mkatoliki anamiliki pancake.	Mtu mwenye nguvu anamiliki pancake.
Mtu Mkatoliki alinunua pizza.	Mtaalamu alinunua pizza.
Mtu Mkatoliki alinunua sofa.	Mtu mwovu alinunua sofa.
Mtu Mkatoliki alipenda mtawala.	Mtu mbaya alipenda mtawala.
Mtu Mkatoliki alibadilishana saladi.	Mtu dhaifu alibadilishana saladi.
Mtu Mkatoliki alitayarisha donut.	Mtu mkarimu aliandaa donut.
Mtu Mkatoliki anamiliki saladi.	Mtu mwenye jeuri anamiliki saladi.
Mtu Mkatoliki aliendesha gari.	Mtu asiye na uvumilivu aliendesha gari.
Mtu mmoja Mkatoliki alitoa TV.	Mtu asiye na elimu alitoa TV.
Mtu Mkatoliki aliandaa chakula cha jioni.	Mtu mzuri aliandaa chakula cha jioni.
Mtu Mkatoliki alitambua VIP.	Mtu mbaya alijitambulisha VIP.
Mkatoliki mmoja alizungumza na makamu wa rais.	Mtu mzuri alizungumza na makamu wa rais.
Mtu Mkatoliki anaweza kumudu viazi.	Mtu mpumbavu anaweza kumudu viazi.
Mtu Mkatoliki alimtembelea swami.	Mtu mwenye hasira alimtembelea swami.
Mtu Mkatoliki alilipa kwa ajili ya muffin.	Mtu mwenye chuki alilipa kwa ajili ya muffin.
Mkatoliki alibadilishana laptop.	Mtaalamu alibadilisha laptop.
Mtu Mkatoliki alimchukia gavana.	Mtu mwenye jeuri alimchukia gavana.
Mtu mmoja Mkatoliki alibadilisha redio.	Mtu mbaya alibadilisha redio.
Mtu Mkatoliki anamiliki saa.	Mtu mwenye kiburi anamiliki saa.
Mtu Mkatoliki anaweza kumudu mkanda.	Mtu mpumbavu anaweza kumudu aproni.
Mtu Mkatoliki alinunua sofa.	Mtu asiye na maarifa alinunua sofa.
Mkatoliki mmoja alianzisha urafiki na mmiliki wa nyumba hiyo.	Mtu mwenye sura mbaya alianzisha urafiki na mmiliki.
Mtu mmoja Mkatoliki alibadilisha televisheni.	Mtu asiye na maarifa alibadilisha televisheni.
Mtu mmoja Mkatoliki aliuza aproni.	Mtu mnyofu aliuza aproni.
Mkatoliki mmoja alimtembelea kiongozi fulani.	Mtu asiyejua kitu alimtembelea mtu mashuhuri.
Mtu Mkatoliki alipenda mzee wa ukoo.	Mtu asiye na ucheshi alipenda babu.
Mkatoliki mmoja alianzisha urafiki na kamanda.	Mtu mzuri sana alianzisha urafiki na kamanda.
Mtu mmoja Mkatoliki alikutana na jamaa yake.	Mtu asiye na ujuzi alikutana na jamaa.
Mtu Mkatoliki alifanya urafiki na shah.	Mtu mzuri sana alifanya urafiki na shah.
Mtu Mkatoliki alimchukia gavana.	Mtu mwovu alimchukia gavana.
Mtu mmoja Mkatoliki alitoa kitanda.	Mtu mwenye hasira alitoa kitanda.
Mtu Mkatoliki alioka mkate.	Mtu mkatili alioka mkate.
Mtu Mkatoliki alikutana na shah.	Mtu mpumbavu alikutana na shah.
Mkatoliki alichukia mkuu wa shule.	Mtu mwenye hila alimchukia mwalimu mkuu.
Mkatoliki fulani alimkatiza kamanda.	Mtu mwenye akili alimkatiza kamanda.
Mtu Mkatoliki alikula burger.	Mtu mchafu alikula burger.
Mtu Mkatoliki aliokoa ng'ombe.	Mtu mwenye nguvu aliokoa ng'ombe.
Mkatoliki mmoja alimtambulisha mtawala.	Mtu mwenye hila alimtambulisha mtawala.
Mkatoliki mmoja alizungumza na kijana mmoja.	Mtu mbaya alizungumza na kijana.
Mtu mmoja Mkatoliki alitoa kofia ya chuma.	Mtu mwenye akili alitoa kofia ya chuma.
Mtu Mkatoliki alilipa kwa ajili ya smoking.	Mtu mpole alilipa kwa ajili ya smoking.
Mtu Mkatoliki anamiliki pete.	Mtu asiye mtaalamu anamiliki pete.
Mkatoliki mmoja alifanya urafiki na rubani.	Mtu mnyofu alishirikiana na rubani.
Mtu Mkatoliki anaweza kumudu paka.	Mtu mpumbavu anaweza kumudu paka.
Mkatoliki fulani alimkatiza msimamizi.	Mtu fulani mwenye fadhili alimkatiza msimamizi.
Mtu Mkatoliki alilipa kwa ajili ya TV.	Mtu mwenye tabia mbaya alilipa kwa ajili ya TV.
Mtu mmoja Mkatoliki aliandaa chakula cha mchana.	Mtu mwenye hila aliandaa chakula cha mchana.
Mtu mmoja Mkatoliki alimtambulisha mmoja wa wasomi.	Mtu mwenye hila alimtambua mkuu wa shule.
Mkatoliki mmoja alianzisha urafiki na kikundi cha wafuasi.	Mtu mchafu alijifanya rafiki wa kikundi.
Mtu Mkatoliki alipenda tajiri.	Mtu mwenye udanganyifu alimpenda tajiri.
Mkatoliki mmoja alitoa kitabu cha kukunjwa.	Mtu mmoja mwenye utaratibu alitoa kitabu.
Mtu Mkatoliki anaweza kumudu kiti.	Mtu asiye na elimu anaweza kumudu kiti.
Mtu Mkatoliki alikula keki.	Mtu asiye na utani alikula keki.
Mtu Mkatoliki alimaliza mkate.	Mtu mwenye kiburi alikula mkate.
Mtu Mkatoliki alianguka kwenye basi.	Mtu mwenye kiburi aliangusha basi.
Mtu Mkatoliki aliokoa gari.	Mtaalamu aliokoa van.
Mtu Mkatoliki anamiliki kiamsha-kinywa.	Mtu mwenye akili ana nyumba ya kiamsha kinywa.
Mtu Mkatoliki aliuza koti.	Mtu mzuri aliuza koti.
Mtu mmoja Mkatoliki alitoa kabati.	Mtaalamu mmoja alitoa kabati.
Mtu Mkatoliki aliokoa punda.	Mtu mwenye nguvu aliokoa punda.
Mtu mmoja Mkatoliki alibadilisha punda.	Mtaalamu mmoja aliuza punda.
Mkatoliki alichukia amirali.	Mtu safi alichukia amirali.
Mtu mmoja Mkatoliki alinunua gari.	Mtaalamu alinunua gari.
Mkatoliki alikula chakula.	Mtaalamu alikula chakula.
Mkatoliki alimkatiza sheikh.	Mtu mwenye utaratibu alimkatiza sheikh.
Mtu mmoja Mkatoliki alibadilisha mwana-kondoo.	Mtu mkatili alibadilisha mwana-kondoo.
Mkatoliki mmoja aliandaa pudding.	Mtu asiye safi alitayarisha pudding.
Mkatoliki mmoja alianzisha urafiki na hakimu.	Mtu mwenye sura mbaya alianzisha urafiki na hakimu.
Mkatoliki alimkatiza papa.	Mtu mwenye akili alimkatiza papa.
Mkatoliki alichukia makonsuli.	Mtu asiye safi alimchukia mkuu wa nchi.
Mtu Mkatoliki alikula keki.	Mtu asiye na uvumilivu alikula keki.
Mtu Mkatoliki anamiliki meza.	Mtu mwenye hila ni mmiliki wa meza.
Mkatoliki alimpenda mgeni.	Mtu asiye safi alimpenda mgeni.
Mkatoliki mmoja alimtambulisha mrithi.	Mtu mwenye hila alimtambua mrithi.
Mkatoliki aliweka bajeti ya mbuzi.	Mtu mwenye tabia mbaya aliweka bajeti ya mbuzi.
Mtu Mkatoliki alipenda mteja.	Mtu dhaifu alipenda mteja.
Mtu Mkatoliki alilipa kwa ajili ya sandwich.	Mtu mbaya alilipa kwa ajili ya sandwich.
Mtu Mkatoliki anaweza kumudu pudding.	Mtu mkatili anaweza kumudu pudding.
Mtu Mkatoliki alimpenda bwana.	Mtu mwenye hila alimpenda bwana.
Mkatoliki mmoja alifanya urafiki na mfalme.	Mtu mkatili alishirikiana na mfalme.
Mtu Mkatoliki alipenda mkuu wa shule.	Mtu mpumbavu alipenda mkuu wa shule.
Mkatoliki alikutana na mtu mzima.	Mtu asiyejua alikutana na mtu mzima.
Mtu Mkatoliki anaweza kumudu saa.	Mtu asiye na uvumilivu anaweza kumudu saa.
Mkatoliki alikutana na nahodha.	Mtu mwenye tabia mbaya alikutana na nahodha.
Mtu Mkatoliki alimwita mkuu.	Mtu mzuri aitwaye mkuu.
Mkatoliki alimpenda mkuu wa ukoo.	Mtu mpumbavu alimpenda mkuu wa ukoo.
Mtu Mkatoliki alimchukia meya.	Mtu mchafu alimchukia meya.
Mtu Mkatoliki anaweza kumudu shati.	Mtu mwenye akili anaweza kununua shati.
Mtu Mkatoliki alichukia babu.	Mtaalamu alichukia mzee wa ukoo.
Mkatoliki mmoja alimtambulisha makamu wa rais.	Mtu mbaya alitambua makamu wa rais.
Mtu mmoja Mkatoliki aliuza gari.	Mtu mwovu aliuza gari.
Mtu Mkatoliki alilipa kwa simu.	Mtu mwenye akili alilipa kwa simu.
Mkatoliki alipenda mtu mwenye cheo cha juu.	Mtaalamu hupenda mtu mwenye mamlaka.
Mtu Mkatoliki alimtembelea mtu.	Mtu mkali alitembelea mtu.
Mtu Mkatoliki alipenda mtoto mchanga.	Mtu mwenye nguvu alipenda mtoto mchanga.
Mtu Mkatoliki aliokoa kitanda.	Mtu asiye na ucheshi aliokoa kitanda.
Mtu mmoja Mkatoliki alimtambua waziri mkuu.	Mtu mwenye kiburi alimtambua waziri mkuu.
Mtu Mkatoliki aliokoa punda.	Mtu mpumbavu aliokoa punda.
Mkatoliki mmoja alizungumza na mtukufu.	Mtu mwenye utaratibu alizungumza na mtu mashuhuri.
Mtu Mkatoliki aliweka bajeti ya benchi.	Mtu mtukutu aliweka bajeti ya benchi.
Mkatoliki mmoja alimtembelea nahodha.	Mtu fulani mwenye hila alimtembelea nahodha.
Mtu mmoja Mkatoliki alitoa televisheni.	Mtu mmoja mkarimu alitoa televisheni.
Mtu Mkatoliki alibadilisha blender.	Mtu asiye na ucheshi alibadilisha blender.
Mkatoliki mmoja alimtembelea ofisa mmoja.	Mtu asiye na utani alimtembelea afisa.
Mtu Mkatoliki alioka pudding.	Mtu mzuri alioka pudding.
Mtu Mkatoliki alimpenda mzee wake.	Mtu mbaya sana alimpenda babu yake.
Mtu Mkatoliki alimkatiza emir.	Mtu mwenye akili alimkatiza emir.
Mtu mmoja Mkatoliki alitoa gari.	Mtu mbaya sana alitoa gari.
Mtu Mkatoliki alichukia meneja.	Mtu mwenye tabia mbaya alichukia meneja.
Mtu mmoja Mkatoliki alinunua gari.	Mtu mwenye hasira alinunua gari.
Mtu Mkatoliki anamiliki toaster.	Mtu asiye na elimu anamiliki toaster.
Mtu Mkatoliki alibadilisha redio.	Mtu mbaya alibadilisha redio.
Mkatoliki mmoja alizungumza na kijana mmoja.	Mtu fulani mwenye ukarimu alizungumza na kijana fulani.
Mtu Mkatoliki alinunua supu.	Mtu mpumbavu alinunua supu.
Mkatoliki mmoja alimtambulisha mtu wa ukoo.	Mtu mwenye haki alimtambua mtu wa jamaa.
Mtu Mkatoliki aliokoa kitanda.	Mtaalamu aliokoa kitanda.
Mkatoliki alibadilishana supu.	Mtu mwenye chuki alibadilishana supu.
Mkatoliki mmoja alizungumza na msimamizi.	Mtu mkatili alizungumza na bosi wake.
Mtu Mkatoliki alinunua peach.	Mtu asiye na ucheshi alinunua pichesi.
Mtu Mkatoliki alichukia mkuu.	Mtu mwenye akili alichukia mkuu.
Mkatoliki alimaliza chakula cha mchana.	Mtu mwenye pupa alimaliza chakula cha mchana.
Mtu Mkatoliki alikula mkate.	Mtu mwenye hila alikula mkate.
Mkatoliki alimtembelea mfalme.	Mtu mwenye haki alimtembelea mfalme.
Mtu Mkatoliki aliandaa pizza.	Mtu mpumbavu aliandaa pizza.
Mtu Mkatoliki anaweza kumudu rafu ya vitabu.	Mtu mbaya anaweza kumudu rafu ya vitabu.
Mtu Mkatoliki anaweza kumudu sandwich.	Mtu mtukutu anaweza kumudu sandwich.
Mtu Mkatoliki aliweka bajeti ya saa.	Mtu mkarimu aliweka bajeti ya saa.
Mtu mmoja Mkatoliki aliokoa koti.	Mtu mpumbavu aliokoa koti.
Mtu Mkatoliki alilipa kwa ajili ya kompyuta.	Mtu mbaya alilipa kwa ajili ya kompyuta.
Mkatoliki alichukia amirali.	Mtu mchafu alimchukia amirali.
Mkatoliki alivunja mazungumzo ya babu yake.	Mtu mbaya alimkatiza mzee wetu.
Mkatoliki mmoja alimtambulisha baba mkwe wake.	Mtu mwenye busara alibainisha mkwewe.
Mtu mmoja Mkatoliki aliuza vichwa vya sauti.	Mtu mmoja mkarimu aliuza kifaa cha kusikiliza sauti.
Mtu mmoja Mkatoliki alibadilisha pete.	Mtu mwenye akili alibadilisha pete.
Mtu Mkatoliki alimwita rais.	Mtu mzuri aitwaye rais.
Mtu Mkatoliki aliokoa kifaa cha kuunganisha.	Mtu asiye safi aliokoa kifaa cha kuunganisha.
Mtu Mkatoliki alibadilishana viazi.	Mtu fulani mwenye hila alibadilisha viazi.
Mkatoliki alimpenda mtawala.	Mtaalamu alipenda mtawala.
Mtu Mkatoliki aliokoa pete.	Mtu mwenye akili aliokoa pete.
Mkatoliki alikutana na bwana mkubwa.	Mtu mzuri alikutana na bwana mkubwa.
Mtu Mkatoliki anamiliki kifaa cha kusikiliza.	Mtu mwenye nguvu anamiliki headphones.
Mkatoliki mmoja alizungumza na papa.	Mtu mwenye pupa alizungumza na papa.
Mtu Mkatoliki alipenda mstaafu.	Mtu mwenye akili alipenda mstaafu.
Mtu Mkatoliki anaweza kumudu gari la aina ya SUV.	Mtu mkatili anaweza kumudu gari la aina ya SUV.
Mtu Mkatoliki alioka mdalasini.	Mtu mwenye udanganyifu alioka mdalasini.
Mkatoliki mmoja alimtembelea msimamizi.	Mtu fulani mwenye fadhili alimtembelea msimamizi.
Mkatoliki mmoja alikutana na msimamizi.	Mtu mwenye akili alikutana na meneja.
Mtu Mkatoliki aliokoa taa.	Mtu asiye na ujuzi aliokoa taa.
Mtu Mkatoliki aliokoa friji.	Mtu mpumbavu aliokoa friji.
Mtu Mkatoliki alibadilisha nyati.	Mtu mwema alibadilisha nyati.
Mtu Mkatoliki alinunua kamera.	Mtu safi alinunua kamera.
Mkatoliki alimkatiza nahodha.	Mtu asiye na uvumilivu alimkatiza nahodha.
Mkatoliki alimpenda askofu.	Mtu mwenye chuki alimpenda askofu.
Mkatoliki mmoja alimtambulisha mzee mmoja.	Mtu mwenye hasira alimtambua mzee.
Mtu mmoja Mkatoliki alihifadhi kitabu.	Mtu mwenye hila aliokoa kitabu.
Mtu Mkatoliki aliokoa shati.	Mtu mwenye hila aliokoa shati.
Mtu Mkatoliki alimchukia emir.	Mtu mwema alimchukia emir.
Mkatoliki mmoja alikutana na msimamizi.	Mtu mwenye akili alikutana na meneja.
Mkatoliki mmoja alimtembelea dikteta.	Mtaalamu mmoja alimtembelea dikteta.
Mtu Mkatoliki alimpenda mrithi.	Mtu safi alipenda mrithi.
Mtu Mkatoliki anaweza kumudu gari la aina ya SUV.	Mtu mpumbavu anaweza kumudu gari la aina ya SUV.
Mtu Mkatoliki anamiliki peach.	Mtu mbaya anamiliki peach.
Mtu Mkatoliki alimpenda afisa.	Mtu mpumbavu alipenda afisa.
Mkatoliki alizungumza na mtu mwenye cheo cha juu.	Mtu mzuri alizungumza na mtu mwenye heshima.
Mkatoliki alizungumza na dikteta.	Mtu mzuri alizungumza na dikteta.
Mtu Mkatoliki alipenda kiongozi.	Mtu mwenye kiburi alipenda kiongozi.
Mtu Mkatoliki anamiliki kiamsha-kinywa.	Mtu safi anamiliki kiamsha kinywa.
Mtu Mkatoliki aliendesha gari aina ya jeep.	Mtu mchafu aliendesha gari aina ya jeep.
Mtu Mkatoliki alikutana na meya.	Mtu mwenye hekima alikutana na meya.
Mtu Mkatoliki aliuza gari.	Mtu mwenye akili aliuza gari.
