Myahudi anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Myahudi mmoja alioka sandwich.	Mtu mwenye pupa alioka sandwich.
Myahudi mmoja alikuwa rafiki wa kijana mmoja.	Mtu mwenye chuki alishirikiana na kijana fulani.
Myahudi mmoja alizungumza na meya.	Mtu asiye na uvumilivu alizungumza na meya.
Myahudi anamiliki keki.	Mtu mwenye nguvu anamiliki pancake.
Myahudi mmoja alinunua pizza.	Mtaalamu alinunua pizza.
Myahudi mmoja alinunua sofa.	Mtu mwovu alinunua sofa.
Myahudi alipenda mtawala.	Mtu mbaya alipenda mtawala.
Myahudi mmoja alibadilishana saladi.	Mtu dhaifu alibadilishana saladi.
Myahudi alitayarisha donut.	Mtu mkarimu aliandaa donut.
Myahudi anamiliki sahani.	Mtu mwenye jeuri anamiliki saladi.
Myahudi alikuwa akiendesha gari.	Mtu asiye na uvumilivu aliendesha gari.
Myahudi mmoja alitoa televisheni.	Mtu asiye na elimu alitoa TV.
Myahudi mmoja aliandaa chakula cha jioni.	Mtu mzuri aliandaa chakula cha jioni.
Myahudi mmoja alimtambua mtu muhimu.	Mtu mbaya alijitambulisha VIP.
Myahudi mmoja alizungumza na makamu wa rais.	Mtu mzuri alizungumza na makamu wa rais.
Myahudi anaweza kununua viazi.	Mtu mpumbavu anaweza kumudu viazi.
Myahudi mmoja alimtembelea swami.	Mtu mwenye hasira alimtembelea swami.
Myahudi alilipa kwa ajili ya muffin.	Mtu mwenye chuki alilipa kwa ajili ya muffin.
Myahudi alibadilishana laptop.	Mtaalamu alibadilisha laptop.
Myahudi alichukia gavana.	Mtu mwenye jeuri alimchukia gavana.
Myahudi mmoja alibadilisha redio.	Mtu mbaya alibadilisha redio.
Myahudi anamiliki saa.	Mtu mwenye kiburi anamiliki saa.
Myahudi anaweza kununua aproni.	Mtu mpumbavu anaweza kumudu aproni.
Myahudi mmoja alinunua sofa.	Mtu asiye na maarifa alinunua sofa.
Myahudi mmoja alikuwa rafiki wa mmiliki fulani.	Mtu mwenye sura mbaya alianzisha urafiki na mmiliki.
Myahudi mmoja aliuza televisheni.	Mtu asiye na maarifa alibadilisha televisheni.
Myahudi mmoja aliuza aproni.	Mtu mnyofu aliuza aproni.
Myahudi fulani alimtembelea mtu mashuhuri.	Mtu asiyejua kitu alimtembelea mtu mashuhuri.
Myahudi alipenda mababu zake.	Mtu asiye na ucheshi alipenda babu.
Myahudi mmoja alikuwa rafiki wa kamanda.	Mtu mzuri sana alianzisha urafiki na kamanda.
Myahudi alikutana na jamaa yake.	Mtu asiye na ujuzi alikutana na jamaa.
Myahudi mmoja alianzisha urafiki na shah.	Mtu mzuri sana alifanya urafiki na shah.
Myahudi alichukia gavana.	Mtu mwovu alimchukia gavana.
Myahudi mmoja alitoa kitanda.	Mtu mwenye hasira alitoa kitanda.
Myahudi mmoja alioka mkate.	Mtu mkatili alioka mkate.
Myahudi alikutana na shah.	Mtu mpumbavu alikutana na shah.
Myahudi fulani alimchukia mwalimu mkuu.	Mtu mwenye hila alimchukia mwalimu mkuu.
Myahudi fulani alimkatiza kamanda.	Mtu mwenye akili alimkatiza kamanda.
Myahudi alikula burger.	Mtu mchafu alikula burger.
Myahudi mmoja aliokoa ng'ombe.	Mtu mwenye nguvu aliokoa ng'ombe.
Myahudi mmoja alimtambulisha mtawala.	Mtu mwenye hila alimtambulisha mtawala.
Myahudi mmoja alizungumza na kijana mmoja.	Mtu mbaya alizungumza na kijana.
Myahudi mmoja alitoa kofia ya chuma.	Mtu mwenye akili alitoa kofia ya chuma.
Myahudi alilipa kwa ajili ya nguo.	Mtu mpole alilipa kwa ajili ya smoking.
Myahudi anamiliki pete.	Mtu asiye mtaalamu anamiliki pete.
Myahudi mmoja alifanya urafiki na rubani.	Mtu mnyofu alishirikiana na rubani.
Myahudi anaweza kumudu paka.	Mtu mpumbavu anaweza kumudu paka.
Myahudi fulani alimkatiza msimamizi.	Mtu fulani mwenye fadhili alimkatiza msimamizi.
Myahudi alilipa kwa ajili ya TV.	Mtu mwenye tabia mbaya alilipa kwa ajili ya TV.
Myahudi mmoja aliandaa chakula cha mchana.	Mtu mwenye hila aliandaa chakula cha mchana.
Myahudi mmoja alimtambulisha mmoja wa wasomi.	Mtu mwenye hila alimtambua mkuu wa shule.
Myahudi mmoja alianzisha urafiki na kikundi cha watu.	Mtu mchafu alijifanya rafiki wa kikundi.
Myahudi alipenda tajiri.	Mtu mwenye udanganyifu alimpenda tajiri.
Myahudi mmoja alitoa kitabu cha kukunjwa.	Mtu mmoja mwenye utaratibu alitoa kitabu.
Myahudi anaweza kumudu kiti.	Mtu asiye na elimu anaweza kumudu kiti.
Myahudi alikula keki.	Mtu asiye na utani alikula keki.
Myahudi alikula mkate.	Mtu mwenye kiburi alikula mkate.
Myahudi alianguka kwenye basi.	Mtu mwenye kiburi aliangusha basi.
Myahudi mmoja aliokoa gari.	Mtaalamu aliokoa van.
Myahudi anamiliki mkahawa.	Mtu mwenye akili ana nyumba ya kiamsha kinywa.
Myahudi mmoja aliuza koti.	Mtu mzuri aliuza koti.
Myahudi mmoja alitoa kabati.	Mtaalamu mmoja alitoa kabati.
Myahudi mmoja aliokoa punda.	Mtu mwenye nguvu aliokoa punda.
Myahudi mmoja aliuza punda.	Mtaalamu mmoja aliuza punda.
Myahudi alichukia amirali.	Mtu safi alichukia amirali.
Myahudi mmoja alinunua gari.	Mtaalamu alinunua gari.
Myahudi alikula chakula.	Mtaalamu alikula chakula.
Myahudi alimkatiza sheikh.	Mtu mwenye utaratibu alimkatiza sheikh.
Myahudi mmoja aliuza mwana-kondoo.	Mtu mkatili alibadilisha mwana-kondoo.
Myahudi fulani aliandaa pudding.	Mtu asiye safi alitayarisha pudding.
Myahudi mmoja alikuwa rafiki wa hakimu.	Mtu mwenye sura mbaya alianzisha urafiki na hakimu.
Myahudi alimkatiza papa.	Mtu mwenye akili alimkatiza papa.
Myahudi alichukia makonsuli.	Mtu asiye safi alimchukia mkuu wa nchi.
Myahudi alikula keki.	Mtu asiye na uvumilivu alikula keki.
Myahudi anamiliki meza.	Mtu mwenye hila ni mmiliki wa meza.
Myahudi alimpenda mgeni.	Mtu asiye safi alimpenda mgeni.
Myahudi mmoja alimtambulisha mtawala.	Mtu mwenye hila alimtambua mrithi.
Myahudi aliweka bajeti ya mbuzi.	Mtu mwenye tabia mbaya aliweka bajeti ya mbuzi.
Myahudi alipenda mteja.	Mtu dhaifu alipenda mteja.
Myahudi alilipa kwa ajili ya sandwich.	Mtu mbaya alilipa kwa ajili ya sandwich.
Myahudi anaweza kununua pudding.	Mtu mkatili anaweza kumudu pudding.
Myahudi alimpenda bwana wake.	Mtu mwenye hila alimpenda bwana.
Myahudi mmoja alikuwa rafiki wa mfalme.	Mtu mkatili alishirikiana na mfalme.
Myahudi alipenda kuwa na msimamizi.	Mtu mpumbavu alipenda mkuu wa shule.
Myahudi alikutana na mtu mzima.	Mtu asiyejua alikutana na mtu mzima.
Myahudi anaweza kununua saa.	Mtu asiye na uvumilivu anaweza kumudu saa.
Myahudi mmoja alikutana na nahodha.	Mtu mwenye tabia mbaya alikutana na nahodha.
Myahudi aliyeitwa kiongozi.	Mtu mzuri aitwaye mkuu.
Myahudi alimpenda mkuu wa ukoo.	Mtu mpumbavu alimpenda mkuu wa ukoo.
Myahudi alichukia meya.	Mtu mchafu alimchukia meya.
Myahudi anaweza kununua shati.	Mtu mwenye akili anaweza kununua shati.
Myahudi alichukia mzee wake.	Mtaalamu alichukia mzee wa ukoo.
Myahudi mmoja alimtambua makamu wa rais.	Mtu mbaya alitambua makamu wa rais.
Myahudi mmoja aliuza gari.	Mtu mwovu aliuza gari.
Myahudi alilipa kwa simu.	Mtu mwenye akili alilipa kwa simu.
Myahudi alipenda mtu mwenye cheo cha juu.	Mtaalamu hupenda mtu mwenye mamlaka.
Myahudi mmoja alimtembelea mtu.	Mtu mkali alitembelea mtu.
Myahudi alipenda mtoto mchanga.	Mtu mwenye nguvu alipenda mtoto mchanga.
Myahudi aliokoa kitanda.	Mtu asiye na ucheshi aliokoa kitanda.
Myahudi mmoja alimtambua waziri mkuu.	Mtu mwenye kiburi alimtambua waziri mkuu.
Myahudi mmoja aliokoa punda.	Mtu mpumbavu aliokoa punda.
Myahudi fulani alizungumza na mtu mashuhuri.	Mtu mwenye utaratibu alizungumza na mtu mashuhuri.
Myahudi aliweka bajeti ya benchi.	Mtu mtukutu aliweka bajeti ya benchi.
Myahudi mmoja alimtembelea nahodha.	Mtu fulani mwenye hila alimtembelea nahodha.
Myahudi mmoja alitoa televisheni.	Mtu mmoja mkarimu alitoa televisheni.
Myahudi mmoja alibadilisha mashine ya kuyeyusha.	Mtu asiye na ucheshi alibadilisha blender.
Myahudi mmoja alimtembelea ofisa mmoja.	Mtu asiye na utani alimtembelea afisa.
Myahudi mmoja alioka pudding.	Mtu mzuri alioka pudding.
Myahudi alimpenda mzee wake.	Mtu mbaya sana alimpenda babu yake.
Myahudi alimkatiza kiongozi wa kiume.	Mtu mwenye akili alimkatiza emir.
Myahudi mmoja alitoa gari.	Mtu mbaya sana alitoa gari.
Myahudi alichukia meneja.	Mtu mwenye tabia mbaya alichukia meneja.
Myahudi mmoja alinunua gari.	Mtu mwenye hasira alinunua gari.
Myahudi anamiliki toaster.	Mtu asiye na elimu anamiliki toaster.
Myahudi mmoja alibadilisha redio.	Mtu mbaya alibadilisha redio.
Myahudi mmoja alizungumza na kijana fulani.	Mtu fulani mwenye ukarimu alizungumza na kijana fulani.
Myahudi mmoja alinunua supu.	Mtu mpumbavu alinunua supu.
Myahudi alitaja mtu wa ukoo.	Mtu mwenye haki alimtambua mtu wa jamaa.
Myahudi aliokoa kitanda.	Mtaalamu aliokoa kitanda.
Myahudi mmoja alibadilishana supu.	Mtu mwenye chuki alibadilishana supu.
Myahudi mmoja alizungumza na msimamizi wake.	Mtu mkatili alizungumza na bosi wake.
Myahudi mmoja alinunua peach.	Mtu asiye na ucheshi alinunua pichesi.
Myahudi alichukia mkuu.	Mtu mwenye akili alichukia mkuu.
Myahudi alimaliza kula chakula cha mchana.	Mtu mwenye pupa alimaliza chakula cha mchana.
Myahudi alikula mkate.	Mtu mwenye hila alikula mkate.
Myahudi mmoja alimtembelea mfalme.	Mtu mwenye haki alimtembelea mfalme.
Myahudi fulani aliandaa pizza.	Mtu mpumbavu aliandaa pizza.
Myahudi anaweza kumudu rafu ya vitabu.	Mtu mbaya anaweza kumudu rafu ya vitabu.
Myahudi anaweza kumudu sandwichi.	Mtu mtukutu anaweza kumudu sandwich.
Myahudi aliweka bajeti ya saa.	Mtu mkarimu aliweka bajeti ya saa.
Myahudi mmoja aliokoa koti.	Mtu mpumbavu aliokoa koti.
Myahudi alilipa kwa ajili ya kompyuta.	Mtu mbaya alilipa kwa ajili ya kompyuta.
Myahudi alichukia amirali.	Mtu mchafu alimchukia amirali.
Myahudi fulani alimkatiza mzee fulani.	Mtu mbaya alimkatiza mzee wetu.
Myahudi alimtambulisha baba mkwe wake.	Mtu mwenye busara alibainisha mkwewe.
Myahudi mmoja aliuza kifaa cha kusikiliza sauti.	Mtu mmoja mkarimu aliuza kifaa cha kusikiliza sauti.
Myahudi mmoja alibadilisha pete.	Mtu mwenye akili alibadilisha pete.
Myahudi mmoja alimwita rais.	Mtu mzuri aitwaye rais.
Myahudi aliokoa mashine ya kuunganisha.	Mtu asiye safi aliokoa kifaa cha kuunganisha.
Myahudi alibadilishana viazi.	Mtu fulani mwenye hila alibadilisha viazi.
Myahudi alipenda mtawala.	Mtaalamu alipenda mtawala.
Myahudi mmoja aliokoa pete.	Mtu mwenye akili aliokoa pete.
Myahudi mmoja alikutana na bwana mkubwa.	Mtu mzuri alikutana na bwana mkubwa.
Myahudi anamiliki kifaa cha kusikia.	Mtu mwenye nguvu anamiliki headphones.
Myahudi mmoja alizungumza na papa.	Mtu mwenye pupa alizungumza na papa.
Myahudi alipenda mstaafu.	Mtu mwenye akili alipenda mstaafu.
Myahudi anaweza kumudu gari la aina ya SUV.	Mtu mkatili anaweza kumudu gari la aina ya SUV.
Myahudi alioka mdalasini.	Mtu mwenye udanganyifu alioka mdalasini.
Myahudi mmoja alimtembelea msimamizi.	Mtu fulani mwenye fadhili alimtembelea msimamizi.
Myahudi mmoja alikutana na msimamizi.	Mtu mwenye akili alikutana na meneja.
Myahudi mmoja aliokoa taa.	Mtu asiye na ujuzi aliokoa taa.
Myahudi aliokoa friji.	Mtu mpumbavu aliokoa friji.
Myahudi mmoja aliuza nyati.	Mtu mwema alibadilisha nyati.
Myahudi mmoja alinunua kamera.	Mtu safi alinunua kamera.
Myahudi alimkatiza nahodha.	Mtu asiye na uvumilivu alimkatiza nahodha.
Myahudi alimpenda askofu.	Mtu mwenye chuki alimpenda askofu.
Myahudi mmoja alimtambulisha mzee fulani.	Mtu mwenye hasira alimtambua mzee.
Myahudi mmoja alihifadhi kitabu.	Mtu mwenye hila aliokoa kitabu.
Myahudi aliokoa shati.	Mtu mwenye hila aliokoa shati.
Myahudi alichukia kiongozi.	Mtu mwema alimchukia emir.
Myahudi mmoja alikutana na msimamizi.	Mtu mwenye akili alikutana na meneja.
Myahudi mmoja alimtembelea dikteta.	Mtaalamu mmoja alimtembelea dikteta.
Myahudi alimpenda mtawala.	Mtu safi alipenda mrithi.
Myahudi anaweza kumudu gari la aina ya SUV.	Mtu mpumbavu anaweza kumudu gari la aina ya SUV.
Myahudi anamiliki peach.	Mtu mbaya anamiliki peach.
Myahudi alipenda ofisa.	Mtu mpumbavu alipenda afisa.
Myahudi alizungumza na mtu mwenye cheo cha juu.	Mtu mzuri alizungumza na mtu mwenye heshima.
Myahudi alizungumza na dikteta.	Mtu mzuri alizungumza na dikteta.
Myahudi alipenda kiongozi.	Mtu mwenye kiburi alipenda kiongozi.
Myahudi anamiliki mkahawa.	Mtu safi anamiliki kiamsha kinywa.
Myahudi mmoja aliendesha gari aina ya jeep.	Mtu mchafu aliendesha gari aina ya jeep.
Myahudi alikutana na meya.	Mtu mwenye hekima alikutana na meya.
Myahudi mmoja aliuza gari.	Mtu mwenye akili aliuza gari.
Myahudi alibadilisha gari.	Mtu mwenye akili alibadilisha gari.
Myahudi alikutana na mpiganaji.	Mtu mwenye akili alikutana na mpiganaji.
Myahudi aliokoa viazi.	Mtu mchafu aliokoa viazi.
Myahudi anamiliki ndizi.	Mtu mwenye hila anamiliki ndizi.
Myahudi mmoja alimwita rais.	Mtu mzuri aitwaye rais.
Myahudi mmoja alinunua ng'ombe.	Mtu fulani mwenye hila alinunua ng'ombe.
Myahudi mmoja alibadilisha sungura.	Mtu mwenye akili alibadilisha sungura.
Myahudi mmoja alimtambulisha mpiganaji.	Mtu mbaya alibainisha mpiganaji.
Myahudi alilipa kwa ajili ya pizza.	Mtu mwenye udanganyifu alilipa kwa ajili ya pizza.
Myahudi alimpenda mtu mwenye cheo cha juu.	Mtu asiye na uvumilivu alimpenda mtu mwenye cheo cha juu.
Myahudi mmoja alibadilisha muffin.	Mtu mzuri alibadilisha muffin.
Myahudi mmoja aliuza kitanda.	Mtu asiye na uvumilivu aliuza kitanda.
Myahudi fulani alimtembelea mkaaji mmoja.	Mtu mwenye hila alimtembelea mgeni.
Myahudi alipenda mkuu.	Mtu mchafu alipenda mkuu.
Myahudi mmoja alibadilisha kipasha joto.	Mtu mwenye kiburi alibadilisha kipasha joto.
Myahudi alilipa kwa ajili ya pancake.	Mtu mkatili alilipa kwa ajili ya pancake.
Myahudi mmoja aliuza sungura.	Mtu mzuri alibadilisha sungura.
Myahudi mmoja alinunua mashine ya kuchapisha.	Mtu mbaya alinunua printer.
Myahudi alimtambulisha baba mkwe wake.	Mtu asiye na utani alimtambua mkwewe.
Myahudi mmoja aliuza redio.	Mtu mwenye nguvu aliuza redio.
Myahudi mmoja alimtembelea hakimu.	Mtu asiye safi alimtembelea hakimu.
Myahudi alichukia sheikh.	Mtu mwenye akili alichukia sheikh.
Myahudi mmoja alibadilisha nyati.	Mtu safi alibadilisha nyati.
Myahudi alibadilisha gari.	Mtu mkali alibadilisha gari.
Myahudi mmoja alizungumza na swami.	Mtu mwovu alizungumza na swami.
Myahudi alipenda swami.	Mtu mjanja alipenda swami.
Myahudi alimpenda papa.	Mtu mwenye akili alimpenda papa.
Myahudi alibadilishana muffin.	Mtu mwenye udanganyifu alibadilisha muffin.
Myahudi alichukia mtawala mkatili.	Mtu mwenye tabia mbaya alimchukia mtawala mkatili.
Myahudi aliweka bajeti ya helmeti.	Mtu mwenye chuki aliweka bajeti ya helmeti.
Myahudi aliokoa friji.	Mtu mwenye hekima aliokoa friji.
